new_order_id,mid_index,Location_idx,Location,Copyright,Date,Latitude,Longitude,PanoID,Status,Google Location,dist_to_start_point,points,SWEREF_Points
39,1085,148256,"59.3194873245283, 18.069350173507463",© Google,2023-03,59.31947882390455,18.06936722997677,MoSUIDxaB6YUyNySkqAjuA,OK,"59.31947882390455, 18.06936722997677",607.9042406365788,POINT (18.06936722997677 59.31947882390455),POINT (674665.8967512441 6579652.124307766)
40,1094,137805,"59.3299899509434, 18.06530376119403",© Google,2012-07,59.3299807266346,18.06522997370507,v4HagJJOdJj72WNRZHLkdA,OK,"59.3299807266346, 18.06522997370507",609.110969575527,POINT (18.06522997370507 59.3299807266346),POINT (674376.7453514878 6580809.928281884)
41,1108,125779,"59.328104864150944, 18.060553625",© Google,2023-03,59.32807106574224,18.06053077975965,HNRwyc8d0X0UjXzCJ0tfbQ,OK,"59.32807106574224, 18.06053077975965",611.868737194928,POINT (18.06053077975965 59.32807106574224),POINT (674119.3094980917 6580585.123251359)
42,1112,133433,"59.32020545283019, 18.063544451492536",© Google,2022-09,59.32025811806615,18.06370494459189,-QQ5RS07Q8aRAT6Q89ofvg,OK,"59.32025811806615, 18.06370494459189",612.4004698708743,POINT (18.06370494459189 59.32025811806615),POINT (674339.8334809458 6579724.004974957)
43,1128,143705,"59.31930779245283, 18.067590863805968",© Google,2023-03,59.3194843157783,18.06759760503021,tEbYWyGdLwueWUln7JgWFQ,OK,"59.3194843157783, 18.06759760503021",615.4831274638764,POINT (18.06759760503021 59.3194843157783),POINT (674565.2121967888 6579648.094886584)
44,1137,154670,"59.3302592490566, 18.07181320708955",© Google,2012-07,59.33034193899216,18.07174708336257,FqGfiYxtwTaiZFBCeypjqg,OK,"59.33034193899216, 18.07174708336257",617.4550765539663,POINT (18.07174708336257 59.33034193899216),POINT (674745.4691808794 6580867.210484114)
45,1139,153719,"59.3194873245283, 18.071461345149253",© Google,2023-03,59.31950237600216,18.07152183547676,FlBD6eEM5pA1_EZvadPnhQ,OK,"59.31950237600216, 18.07152183547676",617.7223067087722,POINT (18.07152183547676 59.31950237600216),POINT (674788.3298015287 6579660.398888727)
46,1309,140961,"59.330438781132074, 18.066535277985075",© Google,2014-06,59.33056059466401,18.06669204329697,Rp3QNWJcmCFQ48KTtchQPw,OK,"59.33056059466401, 18.06669204329697",644.6950069287548,POINT (18.06669204329697 59.33056059466401),POINT (674456.9088736892 6580878.285967606)
47,1346,176615,"59.32666860754717, 18.080257893656718",© Google,2023-03,59.32668006597498,18.08020648005826,MGcV4kQDORRjYf-6cwKyOg,OK,"59.32668006597498, 18.08020648005826",647.6131232001273,POINT (18.08020648005826 59.32668006597498),POINT (675245.3450364072 6580481.953760379)
48,1364,177976,"59.32559141509434, 18.080785686567165",© Google,2022-08,59.32562384909295,18.08069870149123,4JvfwCOWEDNH0kH9Kd8w-g,OK,"59.32562384909295, 18.08069870149123",650.3387869117527,POINT (18.08069870149123 59.32562384909295),POINT (675278.7772312795 6580365.714644399)
49,1476,139105,"59.31921802641509, 18.065831554104477",© Google,2023-03,59.31926694910145,18.06586131015585,DCwtR34wk2Er43sE2iVtwQ,OK,"59.31926694910145, 18.06586131015585",662.1011884024173,POINT (18.06586131015585 59.31926694910145),POINT (674467.5657688244 6579619.355850355)
50,1497,158814,"59.330438781132074, 18.073396585820895",© Google,2022-06,59.33047140668209,18.07368446294596,aYVur1CkcNmk3KNjtGZjCg,OK,"59.33047140668209, 18.07368446294596",664.100792565134,POINT (18.07368446294596 59.33047140668209),POINT (674854.9666330013 6580886.703993367)
51,1499,126732,"59.3290025245283, 18.0609054869403",© Google,2023-03,59.32901834323054,18.06084659826311,MFrrTKtfarwvD5SETgKwTQ,OK,"59.32901834323054, 18.06084659826311",664.4454079006821,POINT (18.06084659826311 59.32901834323054),POINT (674132.4206103694 6580691.3622444095)
52,1544,145597,"59.330887611320755, 18.068294587686566",© Google,2023-03,59.33092004508843,18.06833231331341,GtxkFBaQ80Fmm2TUg4-k1g,OK,"59.33092004508843, 18.06833231331341",669.1955403175201,POINT (18.06833231331341 59.33092004508843),POINT (674548.3329556887 6580922.584563509)
53,1546,165022,"59.319846388679245, 18.075683688432836",© Google,2022-11,59.31990361170519,18.07578080004035,HdzkfNipf_yyK29287-J4Q,OK,"59.31990361170519, 18.07578080004035",669.4009422477598,POINT (18.07578080004035 59.31990361170519),POINT (675028.5158976908 6579716.23532196)
