new_order_idx,sorted_idx,Location_idx,Location,Copyright,Date,Latitude,Longitude,PanoID,Status,Google Location,dist_to_start_point,points,SWEREF_Points
4786,27477,39362,"59.328015098113205, 18.021848811567164",© Google,2023-04,59.32805910206746,18.02187810086112,QhiAV6Y0Bi0kpfq5Johe_Q,OK,"59.32805910206746, 18.02187810086112",2725.1926304241906,POINT (18.02187810086112 59.32805910206746),POINT (671921.3317376538 6580483.349523638)
4787,27507,70791,"59.342377664150945, 18.035923289179102",© Google,2022-06,59.34245935193291,18.03589721166828,jRchBarv1qySS26uBCjtOw,OK,"59.34245935193291, 18.03589721166828",2727.1813715591247,POINT (18.03589721166828 59.34245935193291),POINT (672645.447677903 6582122.110827683)
4788,27707,71529,"59.342826494339626, 18.0362751511194",© Google,2023-05,59.34287022961503,18.03635783960685,9wXRtfBtAV7eBU6fI2wfRg,OK,"59.34287022961503, 18.03635783960685",2742.099190705054,POINT (18.03635783960685 59.34287022961503),POINT (672669.544538843 6582169.028527746)
4789,27805,143968,"59.34955894716981, 18.067590863805968",© Google,2022-10,59.34961723004506,18.06781877382415,jnlawQOi6apA74ufbIZDbA,OK,"59.34961723004506, 18.06781877382415",2750.9320883152914,POINT (18.06781877382415 59.34961723004506),POINT (674423.2101243818 6583001.857514535)
4790,27822,183836,"59.34830222264151, 18.082720927238807",© Google,2022-08,59.34860358985809,18.08323001793462,eoaYzGzCppS3ulP6lPxIIQ,OK,"59.34860358985809, 18.08323001793462",2752.3302091946193,POINT (18.08323001793462 59.34860358985809),POINT (675304.2497715268 6582929.543503312)
4791,27929,89286,"59.34632736981132, 18.045071699626867",© Google,2023-03,59.34636764638628,18.04508654620132,9bDWmG-Q7FnqDyuZutndWw,OK,"59.34636764638628, 18.04508654620132",2758.29410861785,POINT (18.04508654620132 59.34636764638628),POINT (673147.8878908585 6582580.896855731)
4792,28056,64459,"59.34130047169811, 18.032932462686567",© Google,2023-03,59.34137959283778,18.03289413449081,d26MH0YpCbAK-jOHiIlrvg,OK,"59.34137959283778, 18.03289413449081",2768.16481042149,POINT (18.03289413449081 59.34137959283778),POINT (672480.2218070378 6581994.169402646)
4793,28301,37275,"59.3290025245283, 18.02061729477612",© Google,2022-08,59.32921119263037,18.0211067456771,85pmnQsuTkPEzOhwdQF3Fw,OK,"59.32921119263037, 18.0211067456771",2787.744534192573,POINT (18.0211067456771 59.32921119263037),POINT (671871.6473179648 6580609.5650090715)
4794,28383,98079,"59.34785339245283, 18.049294042910446",© Google,2023-03,59.34784216266843,18.04932182473851,dHWUsD2WtecgzGNuRS_4Tg,OK,"59.34784216266843, 18.04932182473851",2794.9381179640604,POINT (18.04932182473851 59.34784216266843),POINT (673381.0829468039 6582756.005847514)
4795,28395,125071,"59.34955894716981, 18.060201763059702",© Google,2022-10,59.34960566638546,18.06031685566451,ZrIjsjotRfqZ_4Z3rU455g,OK,"59.34960566638546, 18.06031685566451",2795.979930125232,POINT (18.06031685566451 59.34960566638546),POINT (673996.9371293513 6582980.937753339)
4796,28466,51486,"59.311587913207546, 18.02747860261194",© Google,2022-08,59.31154839064017,18.02769004566587,7xmUJrztMPyTrpzqmOIU9g,OK,"59.31154839064017, 18.02769004566587",2802.378978443595,POINT (18.02769004566587 59.31154839064017),POINT (672335.417292146 6578661.033265827)
4797,28520,117996,"59.34964871320755, 18.057562798507462",© Google,2022-06,59.3494359795511,18.05785905395977,RXpk1GpYaSzu2b2UTC3BKA,OK,"59.3494359795511, 18.05785905395977",2806.67672275913,POINT (18.05785905395977 59.3494359795511),POINT (673858.128301084 6582955.633180084)
4798,28607,83781,"59.34614783773585, 18.042256804104476",© Google,2022-09,59.34632887717758,18.04305657944211,gf-BYVnRF3Xwb_YUTLixjw,OK,"59.34632887717758, 18.04305657944211",2814.267323543267,POINT (18.04305657944211 59.34632887717758),POINT (673032.7106081459 6582571.30439515)
4799,28623,40412,"59.33286246415094, 18.02237660447761",© Google,2022-06,59.33301018124993,18.02247766725094,A9gjyghpwn2TSlqw2uupMg,OK,"59.33301018124993, 18.02247766725094",2816.0823608418377,POINT (18.02247766725094 59.33301018124993),POINT (671930.4047602272 6581035.863485038)
4800,28626,161879,"59.3502770754717, 18.07445217164179",© Google,2022-09,59.35007318695837,18.07461521149879,mxH9w8hOZ8hc3W2n8IvRGQ,OK,"59.35007318695837, 18.07461521149879",2816.2905266016455,POINT (18.07461521149879 59.35007318695837),POINT (674807.1041557821 6583070.424403921)
4801,28701,191074,"59.34857152075472, 18.085008029850748",© Google,2021-06,59.34892780995979,18.08524614663242,_sLygfjymPQjP9VwszV8NQ,OK,"59.34892780995979, 18.08524614663242",2821.6062570655267,POINT (18.08524614663242 59.34892780995979),POINT (675417.1552974392 6582970.933584491)
4802,28744,40073,"59.334119188679246, 18.022200673507463",© Google,2022-06,59.33401743436294,18.02302545622586,dXAElPrSq6af_6CmVj5HbA,OK,"59.33401743436294, 18.02302545622586",2824.731996109832,POINT (18.02302545622586 59.33401743436294),POINT (671956.4595916931 6581149.367276791)
4803,28830,146270,"59.35045660754717, 18.068470518656717",© Google,2011-07,59.35034167688198,18.06865401811382,7xGDIgPv-wi2hvfKuV6GHA,OK,"59.35034167688198, 18.06865401811382",2830.527452708969,POINT (18.06865401811382 59.35034167688198),POINT (674466.9587327363 6583084.66273377)
4804,28919,65621,"59.34273672830189, 18.033460255597014",© Google,2023-03,59.34277200400599,18.03379069554555,IxazsTwjgcps9x2qluWNmQ,OK,"59.34277200400599, 18.03379069554555",2836.49796943645,POINT (18.03379069554555 59.34277200400599),POINT (672524.1218434848 6582151.442215124)
4805,29007,36168,"59.33007971698113, 18.019913570895522",© Google,2023-04,59.32997355897704,18.02040058749736,tNDD92zLNmAlU2VOU4fopQ,OK,"59.32997355897704, 18.02040058749736",2842.8718640365805,POINT (18.02040058749736 59.32997355897704),POINT (671827.6413696017 6580692.580054377)
4806,29105,53147,"59.31024142264151, 18.028182326492537",© Google,2022-08,59.3101666412051,18.02847648158865,VE1D8kzsxab1szcUDYyV2Q,OK,"59.3101666412051, 18.02847648158865",2850.590616779412,POINT (18.02847648158865 59.3101666412051),POINT (672387.1567633622 6578509.305699107)
