new_order_idx,sorted_idx,Location_idx,Location,Copyright,Date,Latitude,Longitude,PanoID,Status,Google Location,dist_to_start_point,points,SWEREF_Points
1832,316,149178,"59.328463928301886, 18.06970203544776",© Google,2023-03,59.32846739822895,18.06974195341465,x4IWWGUxQ-kwE6PkewKSgA,OK,"59.32846739822895, 18.06974195341465",394.04508035188,POINT (18.06974195341465 59.32846739822895),POINT (674641.0757363897 6580653.351461683)
1833,408,164069,"59.322629135849056, 18.075331826492537",© Google,2014-06,59.32264069927707,18.07543369176398,mVYDKqiFCu0hvcfzaJDYHw,OK,"59.32264069927707, 18.07543369176398",430.2695990248372,POINT (18.07543369176398 59.32264069927707),POINT (674994.6984599269 6580019.903876624)
1834,756,136481,"59.32927182264151, 18.06477596828358",© Google,2023-03,59.32927978473938,18.06485166253768,Dax3X5wp5ifiusypmapOwA,OK,"59.32927978473938, 18.06485166253768",547.6531048758194,POINT (18.06485166253768 59.32927978473938),POINT (674358.8257746515 6580730.936842129)
1835,933,146498,"59.33016948301887, 18.068646449626865",© Google,2011-07,59.33018555676954,18.06858191391392,kmLHOePWt-EhouGwaLwW_g,OK,"59.33018555676954, 18.06858191391392",586.4890186906387,POINT (18.06858191391392 59.33018555676954),POINT (674566.2941906763 6580841.505349161)
1836,1182,136455,"59.319846388679245, 18.06477596828358",© Google,2022-09,59.31981407614188,18.06486945379215,qEoEJUAHB4OT9yvVuP_TTg,OK,"59.31981407614188, 18.06486945379215",625.1159389595078,POINT (18.06486945379215 59.31981407614188),POINT (674408.3448533476 6579677.641633991)
1837,1607,126242,"59.3204747509434, 18.06072955597015",© Google,2012-07,59.32069913685392,18.06086506754735,xCpb5vherHbOJlMwKxPnSg,OK,"59.32069913685392, 18.06086506754735",675.5928002964137,POINT (18.06086506754735 59.32069913685392),POINT (674176.0473663432 6579765.649548945)
1838,1673,137812,"59.330618313207545, 18.06530376119403",© Google,2022-11,59.33070403156405,18.06527025604825,5Ww8YBYXOa39C9QQjTMSLA,OK,"59.33070403156405, 18.06527025604825",683.3788226013984,POINT (18.06527025604825 59.33070403156405),POINT (674375.3285948106 6580890.523020822)
1839,1809,135581,"59.31921802641509, 18.06442410634328",© Google,2023-03,59.31917145165767,18.06442826675779,MfZTaqMbBsGNMf0rMSkRhQ,OK,"59.31917145165767, 18.06442826675779",700.749693095298,POINT (18.06442826675779 59.31917145165767),POINT (674386.5428153638 6579604.975072346)
1840,1969,148302,"59.3312466754717, 18.069350173507463",© Google,2017-06,59.33136396115619,18.06938619856884,jEugBF1y3lNf_e15T7bcxg,OK,"59.33136396115619, 18.06938619856884",716.1114644156801,POINT (18.06938619856884 59.33136396115619),POINT (674605.979461744 6580974.746753654)
1841,2003,156021,"59.31858966415094, 18.072341",© Google,2023-03,59.31865916587856,18.07229820834471,m6sjcJireawKKp7lRcpYKw,OK,"59.31865916587856, 18.07229820834471",719.011833061583,POINT (18.07229820834471 59.31865916587856),POINT (674836.8211399302 6579568.605223174)
1842,2288,170412,"59.33007971698113, 18.077794860074626",© Google,2022-08,59.32990227819956,18.07833123525406,O98qkpOpsZylbWn_MyR_5w,OK,"59.32990227819956, 18.07833123525406",753.1424630445756,POINT (18.07833123525406 59.32990227819956),POINT (675122.1185219266 6580835.584603447)
1843,2655,129910,"59.31885896226415, 18.062137003731344",© Google,2023-03,59.31882744677161,18.06221600251095,bgHMCQRM-WDWBDy6Tg0JuA,OK,"59.31882744677161, 18.06221600251095",792.6389785324643,POINT (18.06221600251095 59.31882744677161),POINT (674262.4688828635 6579560.902691618)
1844,3012,162165,"59.33205456981132, 18.07462810261194",© Google,2011-07,59.33197606747754,18.07475529087838,F75d7eOtytDo_Vbf64Sbng,OK,"59.33197606747754, 18.07475529087838",842.3904571772891,POINT (18.07475529087838 59.33197606747754),POINT (674908.1194301284 6581056.954404503)
1845,3189,159239,"59.317512471698116, 18.073572516791046",© Google,2023-03,59.31749098403859,18.07367708376154,3FP6LGvfMjabS403rK6hrw,OK,"59.31749098403859, 18.07367708376154",865.0875822870706,POINT (18.07367708376154 59.31749098403859),POINT (674921.2565999185 6579442.232079051)
1846,3272,165099,"59.33205456981132, 18.075683688432836",© Google,2023-03,59.33197052120937,18.07609828492559,faCjQIosHc70kKiZk7tb7g,OK,"59.33197052120937, 18.07609828492559",872.6406264955841,POINT (18.07609828492559 59.33197052120937),POINT (674984.5092346531 6581059.866137504)
1847,3507,129080,"59.33205456981132, 18.061785141791045",© Google,2016-05,59.33205503582632,18.06175929609164,gzCxJ20AAhlggyYn1dnwcA,OK,"59.33205503582632, 18.06175929609164",903.3191784922312,POINT (18.06175929609164 59.33205503582632),POINT (674168.7737002308 6581031.67273386)
1848,4027,167313,"59.31715340754717, 18.07656334328358",© Google,2022-08,59.31712947306185,18.07661394824039,pBtzm0OBJG72p9MeiS-fDg,OK,"59.31712947306185, 18.07661394824039",962.8411533032144,POINT (18.07661394824039 59.31712947306185),POINT (675090.1744567056 6579409.721943861)
1849,4433,129886,"59.31670457735849, 18.062137003731344",© Google,2022-09,59.3167332052704,18.06220043530515,NUsLkxC0gURtKU6kIe1XUg,OK,"59.3167332052704, 18.06220043530515",1000.4713323699748,POINT (18.06220043530515 59.3167332052704),POINT (674272.3053135532 6579327.815152236)
1850,4549,120538,"59.31769200377359, 18.05861838432836",© Google,2020-07,59.31765469300023,18.0587153124659,NJogQpRmWOJAivvzRwX_MQ,OK,"59.31765469300023, 18.0587153124659",1012.3906314741232,POINT (18.0587153124659 59.31765469300023),POINT (674069.3422178968 6579421.242553402)
1851,4706,107290,"59.3204747509434, 18.05351638619403",© Google,2022-08,59.32044491048328,18.05360234974173,zsIa9lpk88Wo3VZpD8yFLw,OK,"59.32044491048328, 18.05360234974173",1027.0087342782665,POINT (18.05360234974173 59.32044491048328),POINT (673764.2541732584 6579718.384165427)
1852,4927,115863,"59.317512471698116, 18.056859074626864",© Google,2014-06,59.3178144175177,18.05732287597736,Rya46SVNFYCj6qrDAJFGpg,OK,"59.3178144175177, 18.05732287597736",1048.2057510446396,POINT (18.05732287597736 59.3178144175177),POINT (673989.319275166 6579435.377598803)
1853,5068,131209,"59.31607621509434, 18.06266479664179",© Google,2022-09,59.31603370760584,18.06277037322992,WyJ9nbpB11xb-l3Onc9v6A,OK,"59.31603370760584, 18.06277037322992",1060.2070807390853,POINT (18.06277037322992 59.31603370760584),POINT (674308.3079677285 6579251.466941041)
1854,5084,124890,"59.33331129433962, 18.060201763059702",© Google,2017-07,59.33327664449136,18.06033625367094,ZnBsZWY9SbBOsUFEgDvWFA,OK,"59.33327664449136, 18.06033625367094",1061.593329690602,POINT (18.06033625367094 59.33327664449136),POINT (674081.6091712867 6581163.891694655)
1855,5376,114557,"59.33205456981132, 18.056331281716417",© Google,2022-09,59.3320471277516,18.0563165961512,uP3IkdwAuJKlmCEKBj16LQ,OK,"59.3320471277516, 18.0563165961512",1085.6078903867913,POINT (18.0563165961512 59.3320471277516),POINT (673859.3461714924 6581016.567487224)
1856,5483,103064,"59.32020545283019, 18.051757076492535",© Google,2022-08,59.32054522816828,18.05214028742256,rYimvBZbwAmOwo4QeDJnpw,OK,"59.32054522816828, 18.05214028742256",1095.419995936785,POINT (18.05214028742256 59.32054522816828),POINT (673680.5818262545 6579725.733117241)
1857,5539,202927,"59.325411883018866, 18.08870258022388",© Google,2023-03,59.3254369688937,18.08869727224423,zWV5U2iTHSqJwjI8xEknag,OK,"59.3254369688937, 18.08869727224423",1102.5998629693856,POINT (18.08869727224423 59.3254369688937),POINT (675734.6160677564 6580366.002270208)
1858,5833,135241,"59.3347475509434, 18.064248175373134",© Google,2022-11,59.33477656775718,18.06423159894341,TFqlXHwf0CIeQR-_38YnJA,OK,"59.33477656775718, 18.06423159894341",1134.4122683084147,POINT (18.06423159894341 59.33477656775718),POINT (674295.4017970094 6581340.994605664)
1859,6067,154128,"59.31463995849057, 18.071637276119404",© Google,2017-06,59.31466393194504,18.07161503604477,zZHPd1_ua2cZrPiTmZEpAg,OK,"59.31466393194504, 18.07161503604477",1151.4974365414123,POINT (18.07161503604477 59.31466393194504),POINT (674818.4785049948 6579122.224710547)
1860,6113,124294,"59.3157171509434, 18.06002583208955",© Google,2022-09,59.31570508495309,18.06011814568441,AvP-YYmw7BX2xeviCiHd2g,OK,"59.31570508495309, 18.06011814568441",1155.0091305932244,POINT (18.06011814568441 59.31570508495309),POINT (674159.1145982902 6579207.9583168775)
1861,6304,148351,"59.33564521132075, 18.069350173507463",© Google,2023-03,59.33544147011605,18.0694782201484,U0SpRV7xUhPEuDNyjH2KuQ,OK,"59.33544147011605, 18.0694782201484",1170.3683228801417,POINT (18.0694782201484 59.33544147011605),POINT (674590.2830893871 6581428.731816817)
1862,6322,98637,"59.328733226415096, 18.049645904850745",© Google,2023-03,59.3287172529342,18.05015046949435,Aq9p5DXtJhkQtmG1MNXG7g,OK,"59.3287172529342, 18.05015046949435",1171.6757847676513,POINT (18.05015046949435 59.3287172529342),POINT (673525.7268396558 6580629.931714881)
1863,6484,95990,"59.32729696981132, 18.0484143880597",© Google,2022-06,59.32720580440681,18.0489758639274,Q_jIVpKaZ6FSEgbZ8n1SLw,OK,"59.32720580440681, 18.0489758639274",1187.4617824011418,POINT (18.0489758639274 59.32720580440681),POINT (673466.6383487739 6580458.676150696)
1864,6608,183666,"59.33304199622641, 18.082720927238807",© Google,2023-03,59.33323873121383,18.0827955276519,Z6uEfMtxJhG-YCciLXEL8g,OK,"59.33323873121383, 18.0827955276519",1200.3851728122102,POINT (18.0827955276519 59.33323873121383),POINT (675358.7694425164 6581218.612257018)
1865,6814,124763,"59.31517855471698, 18.060201763059702",© Google,2023-03,59.31499775358049,18.06036727247315,F3zTu7qvsmUWhxwTAgoTHw,OK,"59.31499775358049, 18.06036727247315",1219.6695519439193,POINT (18.06036727247315 59.31499775358049),POINT (674176.9056440741 6579129.898157714)
1866,6967,141954,"59.33582474339622, 18.066887139925374",© Google,2023-03,59.33593790080213,18.06688221710523,WVj3Frblrs3R8krmRN0pPw,OK,"59.33593790080213, 18.06688221710523",1233.7085602795737,POINT (18.06688221710523 59.33593790080213),POINT (674440.1456188371 6581477.1696688095)
1867,7070,132502,"59.314460426415096, 18.063192589552237",© Google,2022-09,59.31421245533103,18.06345245713921,xvdBoLUmq2mtZZ4kDYPD4g,OK,"59.31421245533103, 18.06345245713921",1240.966795248005,POINT (18.06345245713921 59.31421245533103),POINT (674356.436813873 6579050.584143341)
1868,7139,148193,"59.313832064150944, 18.069350173507463",© Google,2022-06,59.31374388284794,18.06960803514873,4zS1clATfCGZ9k9OWx4NBA,OK,"59.31374388284794, 18.06960803514873",1246.8627580197085,POINT (18.06960803514873 59.31374388284794),POINT (674709.0257120114 6579014.575029588)
1869,7273,103120,"59.331785271698116, 18.051757076492535",© Google,2022-10,59.33181467678794,18.0518201455627,QgBET6mYRRg_8vQ9V6axVQ,OK,"59.33181467678794, 18.0518201455627",1258.4517154172786,POINT (18.0518201455627 59.33181467678794),POINT (673604.8668677317 6580978.967244386)
1870,7311,93772,"59.3277458, 18.047358802238804",© Google,2022-06,59.32771759707912,18.04789141891931,a4EIQYqbOMFh4bygaul06Q,OK,"59.32771759707912, 18.04789141891931",1260.6356322354304,POINT (18.04789141891931 59.32771759707912),POINT (673402.360262139 6580512.803993898)
1871,7385,108229,"59.33295223018868, 18.05386824813433",© Google,2023-04,59.33299663153849,18.05371784817954,odiIeT8qGX9XLu1y7jIVtg,OK,"59.33299663153849, 18.05371784817954",1264.4392592349193,POINT (18.05371784817954 59.33299663153849),POINT (673706.7344983774 6581115.445414982)
1872,7406,99026,"59.330438781132074, 18.049821835820897",© Google,2022-10,59.33049087781764,18.04996484347372,W_7I8Da88A-kAaC9FMo9aw,OK,"59.33049087781764, 18.04996484347372",1265.499333604747,POINT (18.04996484347372 59.33049087781764),POINT (673506.1259346062 6580826.817932554)
1873,7430,109910,"59.31643527924528, 18.054571972014926",© Google,2017-07,59.31643168136261,18.05457714598194,8P8sfkpYRui7m9RLFrEh3g,OK,"59.31643168136261, 18.05457714598194",1267.104827390006,POINT (18.05457714598194 59.31643168136261),POINT (673840.194973701 6579274.335430208)
1874,7434,193772,"59.31715340754717, 18.085887684701493",© Google,2023-03,59.31735088871073,18.08594328873275,nqpbSYct8RXHZOVYUu8obg,OK,"59.31735088871073, 18.08594328873275",1267.2981810116553,POINT (18.08594328873275 59.31735088871073),POINT (675619.7192168061 6579458.928631614)
1875,7685,133100,"59.33618380754717, 18.06336852052239",© Google,2022-06,59.33609842238868,18.06348338549355,vBp3MJB7IU9-VlxdHn6O7g,OK,"59.33609842238868, 18.06348338549355",1287.6709666357622,POINT (18.06348338549355 59.33609842238868),POINT (674246.0908223449 6581486.1320049185)
1876,7694,155502,"59.313473, 18.07216506902985",© Google,2023-03,59.3134627160164,18.0721676390592,xOfi8CSw_IlcQlOsBYXsOw,OK,"59.3134627160164, 18.0721676390592",1288.095282494222,POINT (18.0721676390592 59.3134627160164),POINT (674856.0846728547 6578990.005136679)
1877,7935,170328,"59.314101362264154, 18.077794860074626",© Google,2022-05,59.31404031291562,18.07788073835634,WOuU6DNpXGNMWCgoGS2L8A,OK,"59.31404031291562, 18.07788073835634",1307.2386520679445,POINT (18.07788073835634 59.31404031291562),POINT (675178.1305344327 6579069.294884032)
1878,7948,147470,"59.336812169811324, 18.068998311567164",© Google,2023-03,59.33668089851803,18.06910517745704,hppPgOnBTAjJ8SBKHdV5sg,OK,"59.33668089851803, 18.06910517745704",1308.4983542701857,POINT (18.06910517745704 59.33668089851803),POINT (674562.7133165103 6581565.676823219)
1879,7949,104648,"59.317063641509435, 18.052460800373133",© Google,2014-06,59.31688599916728,18.05261815765475,e6hiSwW0Ne7Bs20kd7QAyg,OK,"59.31688599916728, 18.05261815765475",1308.5774643310697,POINT (18.05261815765475 59.31688599916728),POINT (673726.438188881 6579319.779547154)
1880,8059,119559,"59.314460426415096, 18.05826652238806",© Google,2022-09,59.31455012274863,18.05828947297074,jBESrc3wqwniIe94HQaQJQ,OK,"59.31455012274863, 18.05828947297074",1317.4214385271694,POINT (18.05828947297074 59.31455012274863),POINT (674060.9929472299 6579074.652919846)
1881,8158,125867,"59.3360042754717, 18.060553625",© Google,2022-10,59.33596590734896,18.06062369415671,8isf5gVzl5qWsA9Q3Fc2ng,OK,"59.33596590734896, 18.06062369415671",1325.488675895603,POINT (18.06062369415671 59.33596590734896),POINT (674084.1886455173 6581463.904730293)
1882,8186,119717,"59.33519638113208, 18.05826652238806",© Google,2022-10,59.33543160478511,18.05829793652342,C9ujx-S5ozZAW3B67O4GMw,OK,"59.33543160478511, 18.05829793652342",1327.902439318009,POINT (18.05829793652342 59.33543160478511),POINT (673954.6955075003 6581398.3683496835)
1883,8187,130297,"59.313562766037734, 18.06231293470149",© Google,2011-05,59.31356608995707,18.06234670383229,0muqAjx54hB2ypZUxCVP7w,OK,"59.31356608995707, 18.06234670383229",1327.9721319835908,POINT (18.06234670383229 59.31356608995707),POINT (674296.8408198246 6578975.7620913)
1884,8483,192586,"59.3159864490566, 18.085535822761194",© Google,2023-03,59.31606848256683,18.08553342404301,Og2Oa7XJoMYpsDVth4y6-w,OK,"59.31606848256683, 18.08553342404301",1350.6918350193002,POINT (18.08553342404301 59.31606848256683),POINT (675603.020338391 6579315.143336796)
1885,8893,172546,"59.313832064150944, 18.078674514925375",© Google,2023-03,59.31356056760001,18.07890093000081,3rRngeLVsf9r3XvnQa40CA,OK,"59.31356056760001, 18.07890093000081",1378.8566143670694,POINT (18.07890093000081 59.31356056760001),POINT (675238.6375849781 6579018.593548359)
1886,8996,109449,"59.31535808679245, 18.054396041044775",© Google,2022-09,59.31502063018961,18.05461755641906,n8KnFmeJxsU8IYdZ8fCyjw,OK,"59.31502063018961, 18.05461755641906",1387.1769512381316,POINT (18.05461755641906 59.31502063018961),POINT (673849.6998647475 6579117.418920497)
1887,9059,201812,"59.317063641509435, 18.088350718283582",© Google,2022-06,59.31703471159802,18.08829310257438,tBXUye5EW8zuUuegHpFLHw,OK,"59.31703471159802, 18.08829310257438",1391.9280098927416,POINT (18.08829310257438 59.31703471159802),POINT (675755.0165573462 6579429.944618602)
1888,9116,155209,"59.33735076603774, 18.071989138059703",© Google,2023-03,59.33739208790925,18.07207437419566,C5FNpoaaN41cK9gZ-ld8MQ,OK,"59.33739208790925, 18.07207437419566",1396.2530888077276,POINT (18.07207437419566 59.33739208790925),POINT (674727.8622513383 6581652.606694306)
1889,9324,215265,"59.328553694339625, 18.092748992537313",© Google,2011-09,59.32869937639123,18.09304014201102,XES2ocXFPXNdeUwKInI3mw,OK,"59.32869937639123, 18.09304014201102",1412.052654626914,POINT (18.09304014201102 59.32869937639123),POINT (675964.7204840793 6580740.507990398)
1890,9374,98199,"59.317243173584906, 18.049469973880598",© Google,2023-03,59.31725074776158,18.04954721332353,WKN_PUuxTVPUgpOVS77KLw,OK,"59.31725074776158, 18.04954721332353",1415.978339139162,POINT (18.04954721332353 59.31725074776158),POINT (673549.8883120031 6579352.361168324)
1891,9547,87359,"59.32729696981132, 18.044192044776118",© Google,2022-06,59.32725929913515,18.04467240055948,Y2rQdR6ErkywMkhI8z5wxg,OK,"59.32725929913515, 18.04467240055948",1428.8618695945083,POINT (18.04467240055948 59.32725929913515),POINT (673221.6379791194 6580453.425298616)
1892,9657,184093,"59.314191128301886, 18.082896858208954",© Google,2022-05,59.31410004379873,18.08304391775084,7ju53vJNfxIhO6gVXsxMPg,OK,"59.31410004379873, 18.08304391775084",1436.8886929877929,POINT (18.08304391775084 59.31410004379873),POINT (675471.5500439554 6579089.535559382)
1893,9672,167264,"59.31275487169811, 18.07656334328358",© Google,2023-03,59.31259059826024,18.07671123487635,Txf_gEOKh-6fnSg2xPU97Q,OK,"59.31259059826024, 18.07671123487635",1437.6305491773269,POINT (18.07671123487635 59.31259059826024),POINT (675119.0556843422 6578904.896075497)
1894,9796,114601,"59.3360042754717, 18.056331281716417",© Google,2022-09,59.33606861705584,18.05630624869272,0an0ZewMAMdzYJbCJivhiA,OK,"59.33606861705584, 18.05630624869272",1445.6404243595257,POINT (18.05630624869272 59.33606861705584),POINT (673838.205104653 6581464.053028079)
1895,9929,89813,"59.32963088679245, 18.045423561567162",© Google,2023-03,59.32964456818821,18.04550575738153,-LAfq994FjEw0ZJgjaa-zw,OK,"59.32964456818821, 18.04550575738153",1455.54098707419,POINT (18.04550575738153 59.32964456818821),POINT (673256.8823865094 6580721.028237014)
1896,10118,131372,"59.33762006415095, 18.06266479664179",© Google,2022-06,59.3377228980954,18.06307957295209,BgCDcwG34JsEbDrlViwoBA,OK,"59.3377228980954, 18.06307957295209",1468.6096214042834,POINT (18.06307957295209 59.3377228980954),POINT (674214.8122091586 6581665.846865206)
1897,10161,124934,"59.337261, 18.060201763059702",© Google,2023-03,59.33729881284088,18.06023743163053,Y7D2W-iXo3uDpRNQ0atRJw,OK,"59.33729881284088, 18.06023743163053",1471.8054224912437,POINT (18.06023743163053 59.33729881284088),POINT (674055.4075205233 6581611.220708758)
1898,10174,108540,"59.313742298113205, 18.054044179104476",© Google,2022-09,59.31415052676111,18.05440563119072,qvvyKfKESvZoqSzNrXoBTw,OK,"59.31415052676111, 18.05440563119072",1472.481148607353,POINT (18.05440563119072 59.31415052676111),POINT (673842.0870725943 6579020.040416511)
1899,10621,219075,"59.32972065283019, 18.093980509328357",© Google,2022-06,59.32973244971059,18.09407647116479,hXncOIgBbyk6XVig0sfeBg,OK,"59.32973244971059, 18.09407647116479",1505.378409934728,POINT (18.09407647116479 59.32973244971059),POINT (676018.3055406696 6580858.206032978)
1900,10762,110048,"59.336273573584904, 18.054571972014926",© Google,2023-03,59.33630524809276,18.05476718437912,H3kMENfDYwLvrsbAaKfmQQ,OK,"59.33630524809276, 18.05476718437912",1514.5229129750112,POINT (18.05476718437912 59.33630524809276),POINT (673749.496456163 6581486.367787666)
1901,10844,91265,"59.33196480377359, 18.04612728544776",© Google,2022-06,59.3319648595081,18.04647638797268,otSzfMndoomSGPcFxaCAZw,OK,"59.3319648595081, 18.04647638797268",1519.699114257828,POINT (18.04647638797268 59.3319648595081),POINT (673300.25616562 6580981.758171726)
1902,11007,175206,"59.3122162754717, 18.079730100746268",© Google,2023-03,59.31227341046932,18.07977087536333,20OriADPcHG6lW2VC9TvJA,OK,"59.31227341046932, 18.07977087536333",1530.2067723480632,POINT (18.07977087536333 59.31227341046932),POINT (675294.7558763501 6578877.649775221)
1903,11338,206714,"59.33402942264151, 18.089934097014925",© Google,2022-06,59.33407054336252,18.08996879074518,QmhVWLksbzFm1qtRMyzixA,OK,"59.33407054336252, 18.08996879074518",1553.2196338608044,POINT (18.08996879074518 59.33407054336252),POINT (675762.3187270708 6581330.09070761)
1904,11376,192692,"59.33582474339622, 18.085535822761194",© Google,2022-05,59.33611601962626,18.08571913613678,OKr9HHMMQsM0-CJBYw0Mcg,OK,"59.33611601962626, 18.08571913613678",1555.2875580807165,POINT (18.08571913613678 59.33611601962626),POINT (675510.149297401 6581546.497681416)
1905,11521,169176,"59.33842795849057, 18.07726706716418",© Google,2023-03,59.33828435671147,18.07784021854194,19i4BUi3uSdprRnLrDqKRQ,OK,"59.33828435671147, 18.07784021854194",1563.5139895132131,POINT (18.07784021854194 59.33828435671147),POINT (675051.0576530213 6581767.044459974)
1906,11589,194901,"59.313562766037734, 18.086239546641792",© Google,2022-05,59.31378783867378,18.08618183000192,m0Lp9ypulbpd4_-q-AeLqA,OK,"59.31378783867378, 18.08618183000192",1568.5353668218258,POINT (18.08618183000192 59.31378783867378),POINT (675651.6725045702 6579063.066615237)
1907,11680,186250,"59.31275487169811, 18.083600582089552",© Google,2023-03,59.31280980877838,18.083538877509,iG-6Ut5grk5vNdGIxelhBQ,OK,"59.31280980877838, 18.083538877509",1573.8692506765833,POINT (18.083538877509 59.31280980877838),POINT (675506.3590407106 6578947.264248113)
1908,12061,111416,"59.33753029811321, 18.055099764925373",© Google,2023-03,59.33735836575146,18.05530372443291,wb6RFKFznxYEh_1msEDJrA,OK,"59.33735836575146, 18.05530372443291",1598.4106957201552,POINT (18.05530372443291 59.33735836575146),POINT (673774.619389036 6581604.959502641)
