new_order_idx,sorted_idx,Location_idx,Location,Copyright,Date,Latitude,Longitude,PanoID,Status,Google Location,dist_to_start_point,points,SWEREF_Points
3119,15,141400,"59.325052818867924, 18.066711208955223",© Google,2010-08,59.32501735684198,18.06669392288697,AjKk0hLcDJCp89NUxRasrA,OK,"59.32501735684198, 18.06669392288697",151.79270156344103,POINT (18.06669392288697 59.32501735684198),POINT (674485.4401765491 6580261.44099143)
3120,25,141862,"59.3242449245283, 18.066887139925374",© Google,2023-03,59.32426484459374,18.06680507731262,PQ9oWm9ia20pod8FD85XTQ,OK,"59.32426484459374, 18.06680507731262",163.29995221905472,POINT (18.06680507731262 59.32426484459374),POINT (674495.6203424573 6580177.992968489)
3121,80,146026,"59.322898433962266, 18.068470518656717",© Google,2023-03,59.32287929489588,18.06845228630522,h9YzUVnVTVem_KjEdLr76g,OK,"59.32287929489588, 18.06845228630522",234.78742533485735,POINT (18.06845228630522 59.32287929489588),POINT (674596.4090867201 6580028.127534766)
3122,109,153738,"59.322718901886795, 18.071461345149253",© Google,2022-06,59.32270854190602,18.07156845862153,AjclRJ8kiKCUQRMxgCTZtg,OK,"59.32270854190602, 18.07156845862153",278.27395282492733,POINT (18.07156845862153 59.32270854190602),POINT (674774.5162603271 6580017.301441672)
3123,220,160202,"59.32720720377358, 18.073924378731345",© Google,2022-11,59.32724685531624,18.07390100904345,o7oPcbOQKIvLHnU1RpNcLw,OK,"59.32724685531624, 18.07390100904345",365.0459830665633,POINT (18.07390100904345 59.32724685531624),POINT (674883.8535880713 6580528.446691508)
3124,485,146486,"59.32909229056604, 18.068646449626865",© Google,2022-11,59.32911001553477,18.06867787236904,9rRV98DXFlJrb0fPeNpjNA,OK,"59.32911001553477, 18.06867787236904",466.61438023048794,POINT (18.06867787236904 59.32911001553477),POINT (674577.2693959436 6580722.071110001)
3125,487,140472,"59.32101334716981, 18.066359347014924",© Google,2022-08,59.32101683441138,18.06641894307563,yFWRydLNPATjQJOsxgQhGg,OK,"59.32101683441138, 18.06641894307563",467.4857946976635,POINT (18.06641894307563 59.32101683441138),POINT (674490.3127188045 6579815.543631694)
3126,566,142348,"59.32918205660378, 18.06706307089552",© Google,2017-06,59.3292446524658,18.06706393305716,0BicJ7QacQD2iYSFzYVOAA,OK,"59.3292446524658, 18.06706393305716",497.4255087325641,POINT (18.06706393305716 59.3292446524658),POINT (674484.803916819 6580732.822795096)
3127,572,151453,"59.32936158867925, 18.070581690298507",© Google,2023-03,59.32936497153862,18.07064365668635,oKXqSJ9EV_nr6tH2_mOKBg,OK,"59.32936497153862, 18.07064365668635",498.8415723902356,POINT (18.07064365668635 59.32936497153862),POINT (674687.7425502096 6580755.598479124)
3128,610,132578,"59.328284396226415, 18.063192589552237",© Google,2023-04,59.32830082455634,18.06327388045217,fUrKCet3Ocn2joP0okP8tw,OK,"59.32830082455634, 18.06327388045217",510.289671648131,POINT (18.06327388045217 59.32830082455634),POINT (674274.1214437943 6580617.867513601)
3129,647,138672,"59.32056451698113, 18.06565562313433",© Google,2022-09,59.3206210583493,18.0657474321347,P-7UCUdl8ZWrHF9vjUCcEw,OK,"59.3206210583493, 18.0657474321347",522.7136650467535,POINT (18.0657474321347 59.3206210583493),POINT (674454.1474896722 6579769.742301862)
