new_order_idx,sorted_idx,Location_idx,Location,Copyright,Date,Latitude,Longitude,PanoID,Status,Google Location,dist_to_start_point,points,SWEREF_Points
5006,19,141396,"59.32469375471698, 18.066711208955223",© Google,2023-03,59.32468607475585,18.06664594436918,cep7tpspfwNPgpPnn7rKCQ,OK,"59.32468607475585, 18.06664594436918",156.7397503268355,POINT (18.06664594436918 59.32468607475585),POINT (674484.4102557271 6580224.450299655)
5007,47,142800,"59.32352679622642, 18.067239001865673",© Google,2023-03,59.32357339189574,18.06726953793246,d4tHFCgH9zGHwCQqgI7UAQ,OK,"59.32357339189574, 18.06726953793246",192.70403990994132,POINT (18.06726953793246 59.32357339189574),POINT (674525.5813225454 6580102.265652825)
5008,62,143733,"59.32325749811321, 18.067590863805968",© Google,2023-03,59.32326939506412,18.06769214727672,qfxWXQd7EqUqanThbo-SeQ,OK,"59.32326939506412, 18.06769214727672",208.38780115284,POINT (18.06769214727672 59.32326939506412),POINT (674551.1757479494 6580069.544780961)
5009,74,147383,"59.32280866792453, 18.068998311567164",© Google,2010-08,59.32288133051109,18.0690821033474,0h1b2xqwcsbN4uVHA9V4HA,OK,"59.32288133051109, 18.0690821033474",229.3903238192384,POINT (18.0690821033474 59.32288133051109),POINT (674632.2190899227 6580030.00569647)
5010,139,161638,"59.3264890754717, 18.07445217164179",© Google,2023-03,59.32648201898998,18.07458766586639,thAJVLgyW4aH69qX99HZug,OK,"59.32648201898998, 18.07458766586639",344.10564825249884,POINT (18.07458766586639 59.32648201898998),POINT (674926.8336147363 6580445.139999251)
5011,149,164570,"59.325232350943395, 18.075507757462688",© Google,2022-09,59.32523235979848,18.07539970822341,m6tzugc2gblWlWYODX5mfw,OK,"59.32523235979848, 18.07539970822341",345.7062767678685,POINT (18.07539970822341 59.32523235979848),POINT (674979.4390214116 6580308.212545648)
5012,169,164089,"59.325681181132076, 18.075331826492537",© Google,2023-03,59.32571325357812,18.07535247935578,gpIEEWaSUPhgwmcsgco-ZQ,OK,"59.32571325357812, 18.07535247935578",352.2473961014632,POINT (18.07535247935578 59.32571325357812),POINT (674974.2802862021 6580361.601929466)
5013,269,164580,"59.32613001132076, 18.075507757462688",© Google,2022-06,59.32612381007451,18.07562454096673,PfF-5_Xw_2tE2z-hCyKLHg,OK,"59.32612381007451, 18.07562454096673",380.6682688020633,POINT (18.07562454096673 59.32612381007451),POINT (674987.6409525769 6580408.003327041)
5014,311,163595,"59.3229882, 18.07515589552239",© Google,2022-09,59.32299250499513,18.07510939408347,KKwPi50cNgRP9byZwn6H1g,OK,"59.32299250499513, 18.07510939408347",392.66787778906985,POINT (18.07510939408347 59.32299250499513),POINT (674974.4453210486 6580058.200296203)
5015,383,160197,"59.322000773584904, 18.073924378731345",© Google,2010-08,59.32202672515213,18.07389011412505,PusyG_ADk4CrZv6dl656gQ,OK,"59.32202672515213, 18.07389011412505",414.3441211526853,POINT (18.07389011412505 59.32202672515213),POINT (674910.0635943636 6579947.525582046)
