Location_idx,Location,Unnamed: 2
2617,"59.33241363396226, 17.988070065298505",
2618,"59.3325034, 17.988070065298505",
2686,"59.33232386792453, 17.988245996268656",
2687,"59.33241363396226, 17.988245996268656",
2688,"59.3325034, 17.988245996268656",
2761,"59.33241363396226, 17.988421927238804",
2762,"59.3325034, 17.988421927238804",
2838,"59.33241363396226, 17.988597858208955",
2839,"59.3325034, 17.988597858208955",
2926,"59.33241363396226, 17.988773789179103",
3242,"59.32630954339623, 17.98930158208955",
3360,"59.32639930943396, 17.9894775130597",
3480,"59.3264890754717, 17.989653444029848",
3600,"59.3264890754717, 17.989829375",
3719,"59.3264890754717, 17.990005305970147",
3720,"59.32657884150943, 17.990005305970147",
3839,"59.3264890754717, 17.9901812369403",
3840,"59.32657884150943, 17.9901812369403",
3958,"59.3264890754717, 17.990357167910446",
3959,"59.32657884150943, 17.990357167910446",
4077,"59.3264890754717, 17.990533098880597",
4078,"59.32657884150943, 17.990533098880597",
4195,"59.3264890754717, 17.990709029850745",
4196,"59.32657884150943, 17.990709029850745",
4315,"59.32666860754717, 17.990884960820893",
6778,"59.33519638113208, 17.99669068283582",
6779,"59.33528614716981, 17.99669068283582",
6808,"59.33492708301887, 17.99686661380597",
6809,"59.3350168490566, 17.99686661380597",
6810,"59.33510661509434, 17.99686661380597",
6811,"59.33519638113208, 17.99686661380597",
6812,"59.33528614716981, 17.99686661380597",
6813,"59.33537591320755, 17.99686661380597",
6843,"59.3347475509434, 17.997042544776118",
6844,"59.33483731698113, 17.997042544776118",
6845,"59.33492708301887, 17.997042544776118",
6846,"59.3350168490566, 17.997042544776118",
6847,"59.33510661509434, 17.997042544776118",
6848,"59.33519638113208, 17.997042544776118",
6849,"59.33528614716981, 17.997042544776118",
6850,"59.33537591320755, 17.997042544776118",
6888,"59.33483731698113, 17.99721847574627",
7880,"59.32496305283019, 17.999681509328358",
7881,"59.325052818867924, 17.999681509328358",
7882,"59.32514258490566, 17.999681509328358",
7982,"59.325052818867924, 17.999857440298506",
8065,"59.33609404150943, 17.999857440298506",
8171,"59.3360042754717, 18.000033371268657",
8172,"59.33609404150943, 18.000033371268657",
8280,"59.33591450943396, 18.000209302238805",
8392,"59.33582474339622, 18.000385233208956",
8393,"59.33591450943396, 18.000385233208956",
8511,"59.33573497735849, 18.000561164179103",
8512,"59.33582474339622, 18.000561164179103",
8634,"59.33573497735849, 18.00073709514925",
8635,"59.33582474339622, 18.00073709514925",
8761,"59.33582474339622, 18.000913026119402",
8905,"59.33573497735849, 18.00108895708955",
8906,"59.33582474339622, 18.00108895708955",
8946,"59.31760223773585, 18.0012648880597",
9059,"59.33573497735849, 18.0012648880597",
9060,"59.33582474339622, 18.0012648880597",
9101,"59.317512471698116, 18.00144081902985",
9102,"59.31760223773585, 18.00144081902985",
9103,"59.31769200377359, 18.00144081902985",
9218,"59.33564521132075, 18.00144081902985",
9219,"59.33573497735849, 18.00144081902985",
9220,"59.33582474339622, 18.00144081902985",
9221,"59.33591450943396, 18.00144081902985",
9261,"59.31742270566038, 18.00161675",
9262,"59.317512471698116, 18.00161675",
9263,"59.31760223773585, 18.00161675",
9264,"59.31769200377359, 18.00161675",
9265,"59.31778176981132, 18.00161675",
9383,"59.33555544528302, 18.00161675",
9384,"59.33564521132075, 18.00161675",
9385,"59.33573497735849, 18.00161675",
9428,"59.31733293962264, 18.001792680970148",
9429,"59.31742270566038, 18.001792680970148",
9430,"59.317512471698116, 18.001792680970148",
9431,"59.31760223773585, 18.001792680970148",
9432,"59.31769200377359, 18.001792680970148",
9433,"59.31778176981132, 18.001792680970148",
9434,"59.31787153584906, 18.001792680970148",
9601,"59.31742270566038, 18.0019686119403",
9602,"59.317512471698116, 18.0019686119403",
9603,"59.31760223773585, 18.0019686119403",
9604,"59.31769200377359, 18.0019686119403",
9605,"59.31778176981132, 18.0019686119403",
9606,"59.31787153584906, 18.0019686119403",
9645,"59.32684813962264, 18.0019686119403",
